sync_index,port,frame_index,frame_time
0,0,0,162159.5441953
0,1,0,162159.54317195
0,2,0,162159.54327515
1,0,1,162159.5870574
1,1,1,162159.58867345
1,2,1,162159.58556125
2,0,2,162159.64054410002
2,1,2,162159.63966719998
2,2,2,162159.62740855
3,0,3,162159.67109825002
3,1,3,162159.674565
3,2,3,162159.67641195
4,0,4,162159.70930634998
4,1,4,162159.71296039998
4,2,4,162159.71024905
5,0,5,162159.7512114
5,1,5,162159.75424075
5,2,5,162159.75260414998
6,0,6,162159.7932192
6,1,6,162159.79434075
6,2,6,162159.79441325
7,0,7,162159.835441
7,1,7,162159.8364734
7,2,7,162159.8357386
8,0,8,162159.8770701
8,1,8,162159.87617940002
8,2,8,162159.87764495
9,0,9,162159.9254769
9,1,9,162159.92122800002
9,2,9,162159.92097815
10,0,10,162159.9606318
10,1,10,162159.9604705
10,2,10,162159.9605779
11,0,11,162160.0026443
11,1,11,162160.00104695
11,2,11,162160.0043186
12,0,12,162160.04313985002
12,1,12,162160.04413685
12,2,12,162160.04325015
13,0,13,162160.08552189998
13,1,13,162160.0852282
13,2,13,162160.0870292
14,0,14,162160.1263948
14,1,14,162160.12727539998
14,2,14,162160.1265217
15,0,15,162160.16842695
15,1,15,162160.1683547
15,2,15,162160.16936515
16,0,16,162160.2101271
16,1,16,162160.21233140002
16,2,16,162160.2112503
17,0,17,162160.2525855
17,1,17,162160.25317455002
17,2,17,162160.25300605
18,0,18,162160.29324715
18,1,18,162160.2956428
18,2,18,162160.29589419998
19,0,19,162160.33517305
19,1,19,162160.33617095
19,2,19,162160.33541615
20,0,20,162160.37733415002
20,1,20,162160.37740175
20,2,20,162160.37636619998
21,0,21,162160.421588
21,1,21,162160.41823055
21,2,21,162160.41827984998
22,0,22,162160.45907585
22,1,22,162160.4604184
22,2,22,162160.4605289
23,0,23,162160.50413820002
23,1,23,162160.50268079998
23,2,23,162160.50127395
24,0,24,162160.54490925
24,1,24,162160.54302024998
24,2,24,162160.54397895
25,0,25,162160.58532875002
25,1,25,162160.5892057
25,2,25,162160.58490334998
26,0,26,162160.6332262
26,1,26,162160.62747545
26,2,26,162160.6271116
27,0,27,162160.6687748
27,1,27,162160.67131855
27,2,27,162160.66860865
28,0,28,162160.7116405
28,1,28,162160.71171225
28,2,28,162160.71256994997
29,0,29,162160.7520686
29,1,29,162160.75317845
29,2,29,162160.75103275
30,0,30,162160.79603565
30,1,30,162160.79457864998
30,2,30,162160.79320085002
31,0,31,162160.83519329998
31,1,31,162160.835281
31,2,31,162160.8358224
32,0,32,162160.87871174997
32,1,32,162160.87750775
32,2,32,162160.87625929998
33,0,33,162160.9196689
33,1,33,162160.92041209998
33,2,33,162160.9208142
34,0,34,162160.96032135002
34,1,34,162160.9604168
34,2,34,162160.9604493
35,0,35,162161.0016432
35,1,35,162161.00110455
35,2,35,162161.0012875
36,0,36,162161.0437474
36,1,36,162161.04425849998
36,2,36,162161.0448994
37,0,37,162161.08436675
37,1,37,162161.0876591
37,2,37,162161.08535495
38,0,38,162161.1262834
38,1,38,162161.1347155
38,2,38,162161.12767685
39,0,39,162161.1686871
39,1,39,162161.16909945
39,2,39,162161.1683521
40,0,40,162161.20964485
40,1,40,162161.2175571
40,2,40,162161.2204981
41,0,41,162161.2514448
41,1,41,162161.25157745002
41,2,41,162161.2515206
42,0,42,162161.29316355003
42,1,42,162161.29413035
42,2,42,162161.29323379998
43,0,43,162161.33642015
43,1,43,162161.33750005
43,2,43,162161.33502845
44,0,44,162161.3782025
44,1,44,162161.3764604
44,2,44,162161.3765535
45,0,45,162161.418404
45,1,45,162161.41852965
45,2,45,162161.4184969
46,0,46,162161.46021075
46,1,46,162161.45982045
46,2,46,162161.4598805
47,0,47,162161.50237835
47,1,47,162161.50124384998
47,2,47,162161.50231455
48,0,48,162161.54364445
48,1,48,162161.54987125
48,2,48,162161.5442144
49,0,49,162161.59138524998
49,1,49,162161.59269909997
49,2,49,162161.59116575
50,0,50,162161.627515
50,1,50,162161.6278069
50,2,50,162161.6271127
51,0,51,162161.6682378
51,1,51,162161.668334
51,2,51,162161.66842995
